DateTime,Low,High,Last,Weighted_Avg,Idx,Buy_Vol,Sell_Vol,Index_Base,Index_Peak,Date,time
01-01-14 0:00,16.8,35.15,21,22.07,22.07,185,220,12.53,13.5,01-01-14,0:00
01-01-14 1:00,9,32.96,9,17.94,17.94,112,340,12.53,13.5,01-01-14,1:00
01-01-14 2:00,2,16,3,9.36,9.36,124,355,12.53,13.5,01-01-14,2:00
01-01-14 3:00,1,12.1,5,5.23,5.23,86,380,12.53,13.5,01-01-14,3:00
01-01-14 4:00,2,13,11,8.63,8.63,NA,280,12.53,13.5,01-01-14,4:00
01-01-14 5:00,1,10,10,6.44,6.44,NA,200,12.53,13.5,01-01-14,5:00
01-01-14 6:00,4,8.5,8.5,5.94,5.94,NA,240,12.53,13.5,01-01-14,6:00
01-01-14 7:00,5,6.5,6.5,5.3,5.3,NA,145,12.53,13.5,01-01-14,7:00
01-01-14 8:00,7,12.25,10,9.42,9.42,80,30,12.53,13.5,01-01-14,8:00
01-01-14 9:00,8,18,12,15.21,15.21,275,330,12.53,13.5,01-01-14,9:00
01-01-14 10:00,6.5,18,9.5,10.49,10.49,745,204,12.53,13.5,01-01-14,10:00
01-01-14 11:00,9,15.5,11,10.45,10.45,517,260,12.53,13.5,01-01-14,11:00
01-01-14 12:00,8.1,13.9,12.9,10.32,10.32,1316,170,12.53,13.5,01-01-14,12:00
01-01-14 13:00,1,12.5,2.5,7.2,7.2,1474.8,104,12.53,13.5,01-01-14,13:00
01-01-14 14:00,4.9,15.4,8,8.43,8.43,983.9,215.2,12.53,13.5,01-01-14,14:00
01-01-14 15:00,6,12.5,7.15,7.84,7.84,725,125,12.53,13.5,01-01-14,15:00
01-01-14 16:00,7.25,35,35,17.14,17.14,603,550,12.53,13.5,01-01-14,16:00
01-01-14 17:00,13,48,43.25,28.71,28.71,731.2,401.2,12.53,13.5,01-01-14,17:00
01-01-14 18:00,14,29.5,19,20.57,20.57,858.7,649,12.53,13.5,01-01-14,18:00
01-01-14 19:00,10,25,16,16.22,16.22,1022,571.7,12.53,13.5,01-01-14,19:00
01-01-14 20:00,5,28,5,15.92,15.92,1506.3,543.2,12.53,13.5,01-01-14,20:00
01-01-14 21:00,-3,21.5,12,13.65,13.65,1565.3,379.9,12.53,13.5,01-01-14,21:00
01-01-14 22:00,10,20,10,14.62,14.62,1703.3,315,12.53,13.5,01-01-14,22:00
01-01-14 23:00,8,16.95,16.95,13.53,13.53,833,764.2,12.53,13.5,01-01-14,23:00
02-01-14 0:00,5,14.5,14.5,10.28,10.28,195.6,175,28.92,41.71,02-01-14,0:00
02-01-14 1:00,3,14,3,9.42,9.42,128.1,173.2,28.92,41.71,02-01-14,1:00
02-01-14 2:00,5.5,9.99,5.6,6.93,6.93,185.5,175,28.92,41.71,02-01-14,2:00
02-01-14 3:00,-5,5,-5,2.51,2.51,239.7,201.8,28.92,41.71,02-01-14,3:00
02-01-14 4:00,-1,6,6,3.4,3.4,455.2,249,28.92,41.71,02-01-14,4:00
02-01-14 5:00,-3.5,10,-3.25,0.74,0.74,332.5,821.6,28.92,41.71,02-01-14,5:00
02-01-14 6:00,5.5,13.5,7.75,8.33,8.33,105,380,28.92,41.71,02-01-14,6:00
02-01-14 7:00,19.6,21,20.5,20.49,20.49,55,115,28.92,41.71,02-01-14,7:00
02-01-14 8:00,11,30.5,11,26.99,26.99,210,401,28.92,41.71,02-01-14,8:00
02-01-14 9:00,28.5,39,35,33.89,33.89,858,312,28.92,41.71,02-01-14,9:00
02-01-14 10:00,33,55,34.5,45.04,45.04,1031,424.7,28.92,41.71,02-01-14,10:00
02-01-14 11:00,33.8,45,38,40.18,40.18,608,615.2,28.92,41.71,02-01-14,11:00
02-01-14 12:00,37,54,54,44.62,44.62,830.6,507,28.92,41.71,02-01-14,12:00
02-01-14 13:00,34,43,34,36.59,36.59,1260.7,151,28.92,41.71,02-01-14,13:00
