"","fromdate","fromtime","IntradayPrice","PRCP","TMAX","TMIN","TVAR","TAVG","TDIFF","Significant","TPRED","Weekend","holiday","Dayahead_Load.Forecast","DayaheadPrice._EUR_MWh","DirSunHours","PriceDIFF","Target"
"1","2015-01-06",0,45.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70550,45.56,2.1,0.0600000000000023,1
"2","2015-01-06",1,35,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67900,40.28,2.1,5.28,1
"3","2015-01-06",10,43.1,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,80200,50.86,2.1,7.76,1
"4","2015-01-06",11,39,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79600,50.17,2.1,11.17,1
"5","2015-01-06",12,47,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,78900,47.97,2.1,0.969999999999999,1
"6","2015-01-06",13,45.2,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,78450,45.2,2.1,0,0
"7","2015-01-06",14,47.9,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,76500,41.45,2.1,-6.45,0
"8","2015-01-06",15,43,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73800,40.08,2.1,-2.92,0
"9","2015-01-06",16,43.5,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73050,43.62,2.1,0.119999999999997,1
"10","2015-01-06",17,49,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,75350,48.55,2.1,-0.450000000000003,0
"11","2015-01-06",18,79.95,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79900,52.32,2.1,-27.63,0
"12","2015-01-06",19,18.15,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,81000,53.1,2.1,34.95,1
"13","2015-01-06",2,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67450,39.2,2.1,-2.8,0
"14","2015-01-06",20,46.5,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,77300,48.78,2.1,2.28,1
"15","2015-01-06",21,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72800,43.91,2.1,1.91,1
"16","2015-01-06",22,40.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70600,44.58,2.1,4.08,1
"17","2015-01-06",23,38,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72450,45.73,2.1,7.73,1
"18","2015-01-06",3,41,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,64850,36.22,2.1,-4.78,0
"19","2015-01-06",4,31,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,63650,34.04,2.1,3.04,1
"20","2015-01-06",5,39,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,65300,38.58,2.1,-0.420000000000002,0
"21","2015-01-06",6,40.55,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70200,43.32,2.1,2.77,1
"22","2015-01-06",7,51,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,77800,50,2.1,-1,0
"23","2015-01-06",8,50,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,81500,49.53,2.1,-0.469999999999999,0
"24","2015-01-06",9,48.87,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,80550,50.87,2.1,2,1
"25","2015-01-07",0,40.1,0,8.33,0,8.33,2.78,1.67,0,0,0,0,71550,40,2.1,-0.100000000000001,0
"26","2015-01-07",1,30,0,8.33,0,8.33,2.78,1.67,0,0,0,0,68450,36.69,2.1,6.69,1
"27","2015-01-07",10,70,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,81400,50,2.1,-20,0
"28","2015-01-07",11,52.3,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,81000,51.22,2.1,-1.08,0
"29","2015-01-07",12,50.15,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,80550,50.15,2.1,0,0
"30","2015-01-07",13,47.73,0,8.33,0,8.33,2.78,1.67,0,8.33,0,0,79600,51.46,2.1,3.73,1
"31","2015-01-07",14,47.9,0,8.33,0,8.33,2.78,1.67,0,8.33,0,0,77300,50.88,2.1,2.98,1
"32","2015-01-07",15,45.5,0,8.33,0,8.33,2.78,1.67,0,8.33,0,0,74000,48,2.1,2.5,1
"33","2015-01-07",16,49.9,0,8.33,0,8.33,2.78,1.67,0,8.33,0,0,72750,47.14,2.1,-2.76,0
"34","2015-01-07",17,49.8,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,74550,51.07,2.1,1.27,1
"35","2015-01-07",18,41.02,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,79000,52.46,2.1,11.44,1
"36","2015-01-07",19,48.78,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,80850,48.78,2.1,0,0
"37","2015-01-07",2,65,0,8.33,0,8.33,2.78,1.67,0,0,0,0,67750,37.45,2.1,-27.55,0
"38","2015-01-07",20,44.25,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,76550,47.45,2.1,3.2,1
"39","2015-01-07",21,40,0,8.33,0,8.33,2.78,1.67,0,0,0,0,71850,42.02,2.1,2.02,1
"40","2015-01-07",22,36,0,8.33,0,8.33,2.78,1.67,0,0,0,0,69600,45.57,2.1,9.57,1
"41","2015-01-07",23,49,0,8.33,0,8.33,2.78,1.67,0,0,0,0,72100,45.6,2.1,-3.4,0
"42","2015-01-07",3,40,0,8.33,0,8.33,2.78,1.67,0,0,0,0,64750,32.08,2.1,-7.92,0
"43","2015-01-07",4,40,0,8.33,0,8.33,2.78,1.67,0,0,0,0,63600,29.48,2.1,-10.52,0
"44","2015-01-07",5,35.25,0,8.33,0,8.33,2.78,1.67,0,0,0,0,65450,34.94,2.1,-0.310000000000002,0
"45","2015-01-07",6,52,0,8.33,0,8.33,2.78,1.67,0,0,0,0,70450,41.74,2.1,-10.26,0
"46","2015-01-07",7,62,0,8.33,0,8.33,2.78,1.67,0,0,0,0,77350,49.17,2.1,-12.83,0
"47","2015-01-07",8,144.44,0,8.33,0,8.33,2.78,1.67,0,0,0,0,81100,54.44,2.1,-90,0
"48","2015-01-07",9,56,0,8.33,0,8.33,2.78,1.67,0,2.78,0,0,81450,50.99,2.1,-5.01,0
