,X,DateTime,Last,PRCP,TMAX,TMIN,TVAR,TAVG,TDIFF,Significant,TPRED,DateTime1,weekday,Category
1,1,1/1/2014 0:00,21,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
2,2,1/1/2014 1:00,9,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
3,3,1/1/2014 2:00,3,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
4,4,1/1/2014 3:00,5,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
5,5,1/1/2014 4:00,11,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
6,6,1/1/2014 5:00,10,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
7,7,1/1/2014 6:00,8.5,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
8,8,1/1/2014 7:00,6.5,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
9,9,1/1/2014 8:00,10,0.18,10.56,6.11,4.45,8.33,0,0,6.11,1/1/2014,Wednesday,1
10,10,1/1/2014 9:00,12,0.18,10.56,6.11,4.45,8.33,0,0,8.33,1/1/2014,Wednesday,1
11,11,1/1/2014 10:00,9.5,0.18,10.56,6.11,4.45,8.33,0,0,8.33,1/1/2014,Wednesday,1
12,12,1/1/2014 11:00,11,0.18,10.56,6.11,4.45,8.33,0,0,8.33,1/1/2014,Wednesday,1
13,13,1/1/2014 12:00,12.9,0.18,10.56,6.11,4.45,8.33,0,0,8.33,1/1/2014,Wednesday,1
14,14,1/1/2014 13:00,2.5,0.18,10.56,6.11,4.45,8.33,0,0,10.56,1/1/2014,Wednesday,1
15,15,1/1/2014 14:00,8,0.18,10.56,6.11,4.45,8.33,0,0,10.56,1/1/2014,Wednesday,1
16,16,1/1/2014 15:00,7.15,0.18,10.56,6.11,4.45,8.33,0,0,10.56,1/1/2014,Wednesday,1
17,17,1/1/2014 16:00,35,0.18,10.56,6.11,4.45,8.33,0,0,10.56,1/1/2014,Wednesday,1
18,18,1/1/2014 17:00,43.25,0.18,10.56,6.11,4.45,8.33,0,0,8.33,1/1/2014,Wednesday,1
