"","fromdate","fromtime","X","Last","PRCP","TMAX","TMIN","TVAR","TAVG","TDIFF","Significant","TPRED","Weekend","holiday","Dayahead_Load.Forecast","ActualTotalLoad","DayaheadPrice._EUR_MWh","BasePrice","DirSunHours"
"1",2015-01-06,0,8881,45.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70550,69935,45.56,45.16,2.1
"2",2015-01-06,1,8882,35,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67900,67795,40.28,45.16,2.1
"3",2015-01-06,10,8891,43.1,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,80200,81086,50.86,45.16,2.1
"4",2015-01-06,11,8892,39,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79600,81166,50.17,45.16,2.1
"5",2015-01-06,12,8893,47,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,78900,80973,47.97,45.16,2.1
"6",2015-01-06,13,8894,45.2,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,78450,79304,45.2,45.16,2.1
"7",2015-01-06,14,8895,47.9,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,76500,77662,41.45,45.16,2.1
"8",2015-01-06,15,8896,43,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73800,75285,40.08,45.16,2.1
"9",2015-01-06,16,8897,43.5,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73050,75028,43.62,45.16,2.1
"10",2015-01-06,17,8898,49,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,75350,78196,48.55,45.16,2.1
"11",2015-01-06,18,8899,79.95,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79900,81983,52.32,45.16,2.1
"12",2015-01-06,19,8900,18.15,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,81000,81712,53.1,45.16,2.1
"13",2015-01-06,2,8883,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67450,66811,39.2,45.16,2.1
"14",2015-01-06,20,8901,46.5,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,77300,77245,48.78,45.16,2.1
"15",2015-01-06,21,8902,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72800,72532,43.91,45.16,2.1
"16",2015-01-06,22,8903,40.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70600,72243,44.58,45.16,2.1
"17",2015-01-06,23,8904,38,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72450,72686,45.73,45.16,2.1
"18",2015-01-06,3,8884,41,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,64850,64040,36.22,45.16,2.1
"19",2015-01-06,4,8885,31,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,63650,63275,34.04,45.16,2.1
"20",2015-01-06,5,8886,39,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,65300,65977,38.58,45.16,2.1
