"fromdate","fromtime","IntradayPrice","PRCP","TMAX","TMIN","TVAR","TAVG","TDIFF","Significant","TPRED","Weekend","holiday","Dayahead_Load.Forecast","DayaheadPrice._EUR_MWh","DirSunHours","PriceDIFF","Target","tempC","windspeedKmph","precipMM","humidity","pressureMB","cloudcover","HeatIndexC","DewPointC","WindChillC","WindGustKmph"
2015-01-06,0,45.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70550,45.56,2.1,0.0600000000000023,1,8,8,0,92,1017,29,9,7,7,14
2015-01-06,1,35,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67900,40.28,2.1,5.28,1,7,9,0,92,1017,25,8,7,6,16
2015-01-06,2,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,67450,39.2,2.1,-2.8,0,7,10,0,92,1017,21,8,6,6,18
2015-01-06,3,41,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,64850,36.22,2.1,-4.78,0,6,11,0,91,1018,16,7,6,5,20
2015-01-06,4,31,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,63650,34.04,2.1,3.04,1,7,10,0,90,1018,31,8,6,6,16
2015-01-06,5,39,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,65300,38.58,2.1,-0.420000000000002,0,8,9,0,88,1019,45,8,7,7,13
2015-01-06,6,40.55,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70200,43.32,2.1,2.77,1,9,8,0,87,1019,59,9,7,8,10
2015-01-06,7,51,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,77800,50,2.1,-1,0,10,7,0,78,1019,56,10,7,10,9
2015-01-06,8,50,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,81500,49.53,2.1,-0.469999999999999,0,11,7,0,70,1019,53,12,6,11,9
2015-01-06,9,48.87,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,80550,50.87,2.1,2,1,12,7,0,61,1019,50,13,5,12,8
2015-01-06,10,43.1,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,80200,50.86,2.1,7.76,1,13,7,0,57,1019,40,14,5,14,9
2015-01-06,11,39,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79600,50.17,2.1,11.17,1,14,8,0,52,1019,30,15,5,15,9
2015-01-06,12,47,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,78900,47.97,2.1,0.969999999999999,1,15,9,0,48,1019,19,16,5,16,10
2015-01-06,13,45.2,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,78450,45.2,2.1,0,0,16,12,0,47,1018,14,16,5,16,13
2015-01-06,14,47.9,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,76500,41.45,2.1,-6.45,0,16,14,0,47,1018,9,17,5,17,17
2015-01-06,15,43,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73800,40.08,2.1,-2.92,0,17,17,0,46,1017,4,17,6,17,20
2015-01-06,16,43.5,0,4.44,-1.67,6.11,1.11,1.67,0,4.44,0,0,73050,43.62,2.1,0.119999999999997,1,16,15,0,51,1017,5,17,7,17,18
2015-01-06,17,49,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,75350,48.55,2.1,-0.450000000000003,0,16,13,0,57,1016,7,17,8,17,17
2015-01-06,18,79.95,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,79900,52.32,2.1,-27.63,0,15,11,0,62,1016,8,16,9,16,16
2015-01-06,19,18.15,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,81000,53.1,2.1,34.95,1,14,13,0,65,1016,8,15,8,14,21
2015-01-06,20,46.5,0,4.44,-1.67,6.11,1.11,1.67,0,1.11,0,0,77300,48.78,2.1,2.28,1,12,14,0,68,1015,8,13,7,12,27
2015-01-06,21,42,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72800,43.91,2.1,1.91,1,11,16,0,71,1015,8,11,6,9,33
2015-01-06,22,40.5,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,70600,44.58,2.1,4.08,1,11,14,0,72,1015,31,11,6,10,29
2015-01-06,23,38,0,4.44,-1.67,6.11,1.11,1.67,0,-1.67,0,0,72450,45.73,2.1,7.73,1,11,12,0,73,1015,54,11,7,10,25
2015-01-07,0,40.1,0,8.33,0,8.33,2.78,1.67,0,0,0,0,71550,40,2.1,-0.100000000000001,0,20,11,0,61,1015,0,25,15,23,23
