STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-01,0,",,E",,,32,"H,,S",38,",,E",26,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-02,0,",,E",0.4,",,S",33,"H,,S",41,",,E",24,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-03,0.06,",,E",,,43,"H,,S",49,",,E",37,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-04,0.05,",,E",,,45,"H,,S",50,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-05,0,",,E",,,32,"H,,S",38,",,E",28,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-06,0,",,E",,,30,"H,,S",33,",,E",26,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-07,0,",,E",,,38,"H,,S",42,",,E",31,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-08,0,",,E",,,43,"H,,S",56,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-09,0,",,E",,,43,"H,,S",49,",,E",36,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-10,0,",,E",,,52,"H,,S",69,",,E",45,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-11,0.09,",,E",,,44,"H,,S",49,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-12,0,",,E",,,36,"H,,S",50,",,E",30,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-13,0,",,E",,,46,"H,,S",57,",,E",30,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-14,0,",,E",,,51,"H,,S",58,",,E",49,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-15,0,",,E",,,51,"H,,S",57,",,E",42,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-16,1.8,",,E",,,49,"H,,S",57,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-17,0,",,E",,,40,"H,,S",45,",,E",37,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-01-18,0.03,",,E",,,34,"H,,S",44,",,E",27,",,E"
