STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-01,0,",,E",,,39,"H,,S",49,",,E",33,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-02,0,",,E",,,43,"H,,S",56,",,E",29,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-03,0,",,E",,,52,"H,,S",61,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-04,0,",,E",,,53,"H,,S",61,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-05,0,",,E",,,43,"H,,S",57,",,E",32,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-06,0,",,E",,,40,"H,,S",53,",,E",31,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-07,0,",,E",,,38,"H,,S",52,",,E",29,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-08,0,",,E",,,41,"H,,S",55,",,E",30,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-09,0,",,E",,,51,"H,,S",57,",,E",40,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-10,0,",,E",,,53,"H,,S",63,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-11,0,",,E",,,50,"H,,S",56,",,E",42,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-12,0,",,E",,,45,"H,,S",56,",,E",34,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-13,0,",,E",,,54,"H,,S",59,",,E",35,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-14,0,",,E",,,50,"H,,S",58,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-01-15,0,",,E",,,53,"H,,S",62,",,E",39,",,E"
