"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-01","0.01",",,E",,,"33","H,,S","43",",,E","24",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-02","0.00",",,E",,,"40","H,,S","48",",,E","34",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-03","0.17",",,E",,,"45","H,,S","55",",,E","32",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-04","0.00",",,E",,,"40","H,,S","44",",,E","35",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-05","0.00",",,E",,,"31","H,,S","36",",,E","24",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-06","0.00",",,E",,,"34","H,,S","40",",,E","29",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-07","0.00",",,E",,,"37","H,,S","47",",,E","32",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-08","0.13",",,E",,,"47","H,,S","51",",,E","39",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-09","0.02",",,E",,,"51","H,,S","58",",,E","43",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-10","0.07",",,E",,,"54","H,,S","56",",,E","50",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-11","0.00",",,E",,,"43","H,,S","48",",,E","39",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-12","0.00",",,E",,,"45","H,,S","49",",,E","40",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-13","0.07",",,E",,,"48","H,,S","50",",,E","44",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-01-14","0.10",",,E",,,"44","H,,S","49",",,E","41",",,E"
