date,windspeedKmph,winddirdegree,WindGustKmph
5/19/2019,6,7,9
5/19/2019,6,8,8
5/19/2019,6,125,9
5/19/2019,7,242,9
5/19/2019,7,359,10
5/19/2019,8,241,10
5/19/2019,8,123,10
5/19/2019,8,5,10
5/19/2019,8,4,10
5/19/2019,8,3,10
5/19/2019,8,2,9
5/19/2019,8,120,9
5/19/2019,8,238,9
5/19/2019,8,356,9
5/19/2019,10,355,13
5/19/2019,12,354,16
5/19/2019,13,353,20
5/19/2019,13,354,21
5/19/2019,14,355,23
5/19/2019,14,357,24
5/19/2019,13,355,22
5/19/2019,13,352,20
5/19/2019,13,350,18
5/19/2019,12,350,17
5/20/2019,11,350,15
5/20/2019,10,349,14
5/20/2019,9,340,13
5/20/2019,8,330,11
5/20/2019,7,320,10
5/20/2019,7,318,9
5/20/2019,8,316,9
5/20/2019,8,314,9
5/20/2019,8,321,9
5/20/2019,9,327,10
5/20/2019,9,333,10
5/20/2019,9,337,10
5/20/2019,9,341,10
5/20/2019,9,345,10
5/20/2019,10,350,11
5/20/2019,10,354,12
5/20/2019,11,358,13
5/20/2019,12,243,14
5/20/2019,13,127,15
5/20/2019,14,12,16
5/20/2019,13,17,16
5/20/2019,13,22,17
5/20/2019,12,26,17
5/20/2019,11,25,15
5/21/2019,10,24,14
5/21/2019,9,23,13
5/21/2019,9,21,12
5/21/2019,9,20,12
5/21/2019,9,19,11
5/21/2019,8,18,10
5/21/2019,8,16,10
5/21/2019,8,15,9
5/21/2019,9,18,10
5/21/2019,10,22,11
5/21/2019,10,25,12
5/21/2019,11,25,13
5/21/2019,12,26,13
5/21/2019,12,27,14
5/21/2019,12,30,14
5/21/2019,12,34,14
5/21/2019,12,38,14
5/21/2019,12,37,13
5/21/2019,11,36,13
5/21/2019,11,34,13
5/21/2019,11,33,13
5/21/2019,10,32,14
5/21/2019,10,31,14
5/21/2019,10,33,14
5/22/2019,10,34,13
5/22/2019,9,35,13
5/22/2019,9,34,12
5/22/2019,8,33,10
5/22/2019,7,32,9
5/22/2019,7,36,9
5/22/2019,6,40,8
5/22/2019,6,43,8
5/22/2019,6,42,8
5/22/2019,6,41,8
5/22/2019,6,40,8
5/22/2019,6,38,7
5/22/2019,6,36,6
5/22/2019,5,34,6
5/22/2019,6,39,7
5/22/2019,7,44,8
5/22/2019,8,49,9
5/22/2019,9,58,10
5/22/2019,10,67,12
5/22/2019,11,76,13
5/22/2019,11,82,14
5/22/2019,11,89,15
5/22/2019,10,95,15
5/22/2019,10,100,15
5/23/2019,10,104,14
5/23/2019,10,109,14
5/23/2019,10,108,14
5/23/2019,10,107,14
5/23/2019,10,107,14
5/23/2019,10,109,14
5/23/2019,10,112,13
5/23/2019,11,114,13
5/23/2019,11,116,13
5/23/2019,12,117,13
5/23/2019,12,118,14
5/23/2019,12,119,14
5/23/2019,13,119,14
5/23/2019,13,119,15
5/23/2019,13,122,15
5/23/2019,13,125,16
5/23/2019,13,128,16
5/23/2019,13,130,15
5/23/2019,12,132,14
5/23/2019,12,134,13
5/23/2019,10,129,13
5/23/2019,9,124,12
5/23/2019,7,119,11
5/23/2019,8,112,11
5/24/2019,8,106,11
5/24/2019,9,100,11
5/24/2019,9,99,12
5/24/2019,8,97,13
5/24/2019,8,96,13
5/24/2019,9,97,13
5/24/2019,9,98,12
5/24/2019,9,99,11
5/24/2019,10,110,12
5/24/2019,10,121,12
5/24/2019,11,132,13
5/24/2019,11,141,13
5/24/2019,11,150,13
5/24/2019,11,159,13
5/24/2019,13,166,15
5/24/2019,15,173,18
5/24/2019,17,180,20
5/24/2019,15,185,18
5/24/2019,14,189,17
5/24/2019,12,194,15
5/24/2019,13,193,17
5/24/2019,13,192,18
5/24/2019,13,192,20
5/24/2019,13,191,19
5/25/2019,12,191,17
5/25/2019,12,190,16
5/25/2019,12,194,17
5/25/2019,13,198,18
5/25/2019,14,202,19
5/25/2019,13,200,18
5/25/2019,13,198,17
5/25/2019,13,195,17
5/25/2019,12,193,14
5/25/2019,10,191,12
5/25/2019,9,189,10
5/25/2019,8,184,10
5/25/2019,8,180,9
5/25/2019,8,176,9
5/25/2019,7,171,8
5/25/2019,7,167,8
5/25/2019,6,163,8
5/25/2019,6,162,7
5/25/2019,6,161,7
5/25/2019,6,159,6
5/25/2019,5,194,6
5/25/2019,4,228,6
5/25/2019,4,263,5
5/25/2019,4,269,6
5/26/2019,4,275,6
5/26/2019,4,281,6
5/26/2019,6,289,9
5/26/2019,8,297,11
5/26/2019,9,305,13
5/26/2019,9,303,13
5/26/2019,10,302,13
5/26/2019,10,300,13
5/26/2019,11,297,13
5/26/2019,12,294,14
5/26/2019,13,290,15
5/26/2019,14,295,16
5/26/2019,14,299,17
5/26/2019,15,303,18
5/26/2019,16,310,20
5/26/2019,17,318,22
5/26/2019,18,326,25
5/26/2019,18,331,24
5/26/2019,18,336,24
5/26/2019,18,341,24
5/26/2019,15,342,22
5/26/2019,13,343,19
5/26/2019,11,344,17
5/26/2019,10,345,14
5/27/2019,9,347,12
5/27/2019,8,348,10
5/27/2019,8,294,10
5/27/2019,8,294,10
5/27/2019,8,294,10
5/27/2019,8,294,10
5/27/2019,9,240,11
5/27/2019,11,23,14
5/27/2019,11,72,14
5/27/2019,11,72,14
5/27/2019,11,72,14
5/27/2019,11,72,14
5/27/2019,11,120,13
5/27/2019,11,314,13
5/27/2019,13,308,15
5/27/2019,13,308,15
5/27/2019,13,308,15
5/27/2019,13,308,15
5/27/2019,14,302,18
5/27/2019,19,277,29
5/27/2019,19,274,30
5/27/2019,19,274,30
5/27/2019,19,274,30
5/27/2019,19,274,30
5/28/2019,19,272,31
